SMILES,T,¦¤G,
CC1=CB(C2=CC(C)=CC=C2)N(C3=C1C=CC=C3)CC4=CC=C([N+]([O-])=O)C=C4,123.0 ,6.6,
CC1=CB(C2=C(C)C(C)=CC=C2)N(C3=C1C=CC=C3)CC4=CC=C([N+]([O-])=O)C=C4,384.2 ,19.1,
CC(C=CC=C1SCC)=C1B(C=CC2=C3C=CC=C2)N3CC4=CC=CC=C4,419.15,35.6,
COC1=CC(C2=CC3=CC=CC=C3N(CC4=CC=CC=C4)B2C5=C(C=CC=C6)C6=CC=C5OC)=CC=C1,413.15,34.46,
CC(C)N1C2=CC=CC=C2C=CB1C3=C(COC4)C4=C(C)N=C3C(OCC)=O,333.15,27,
CC(C)N1C2=CC=CC=C2C=C(Br)B1C3=C(COC4)C4=C(C)N=C3C(OCC)=O,393.15,32.69,
CC(C)N1C2=CC=CC=C2C=CB1C3=C(COC4)C4=C(C)C(C(OC(C)C)=O)=C3C(OC(C)C)=O,383.15,31.21,
CC(C(CC(C(OC)=O)(C(OC)=O)C1)=C1C(C)=C2C)=C2B(N3)N(CC4=CC=CC=C4)C5=C(C3=CC=C6)C6=CC=C5,373.15,32.8,
