SMILES,T,¦¤G
O=CC1=C(OC2=C(C)C=CC=C2C(C)(C)C)C(C(OC3=CC=C(OC=C4)C4=C3)=O)=CC=C1,373.15,32.024545
O=C(NCC(NC1=CC=CC(N)=C1OC2=C(C(C)(C)C)C=C(C)C=C2C)=O)C3=CC=CC=C3,373.15,30.4
O=C(NCC(NC1=CC=CC(N)=C1OC2=C(C(CC)(C)C)C=C(C)C=C2C)=O)C3=CC=CC=C3,373.15,30.9
OCC1=C(OC2=C(C)C=C(C)C=C2P(C3=CC=CC=C3)C4=CC=CC=C4)C(C(OCC)=O)=CC=C1,393.15,34
OCC1=C(OC2=C(C)C=C(C)C=C2P(C3=CC=CC=C3)C4=CC=CC=C4)C(C(O)=O)=CC=C1,293.15,24.5
O=CC1=CC=CC(C(OC)=O)=C1OC2=C(C(C)(C)C)C=CC=C2C,373.15,31.33
C#CC1=CC=CC(C2=CN(CC3=CC=CC=C3)N=N2)=C1OC4=C(C(C)(C)C)C=CC=C4C,423.15,35.89
